,latitude,longitude,closest_station
218,51.553258,-0.205833,"['Kilburn', 647.17]"
219,51.518611,-0.167411,"['Edgware Road (B)', 126.716]"
220,51.548,-0.162,"['Belsize Park', 273.546]"
221,51.5498,-0.195001,"['West Hampstead', 502.619]"
222,51.526756,-0.165134,"['Marylebone', 678.674]"
223,51.521616,-0.167632,"['Chesham', 213.09]"
224,51.553818,-0.195616,"['West Hampstead', 675.121]"
225,51.544006,-0.191107,"['West Hampstead', 324.584]"
226,51.534494,-0.141927,"['Mornington Crescent', 422.721]"
227,51.551662,-0.189061,"['West Hampstead', 531.601]"
228,51.5442,-0.175661,"['Swiss Cottage', 218.253]"
229,51.533934,-0.147029,"['Camden Town', 614.777]"
230,51.54261,-0.172038,"['Swiss Cottage', 120.189]"
231,51.54983,-0.148455,"['Chesham', 595.136]"
232,51.546588,-0.142876,"['Kentish Town', 427.429]"
233,51.554403,-0.118279,"['Holloway Road', 459.133]"
234,51.524129,-0.167787,"['Chesham', 466.538]"
235,51.561576,-0.192172,"['Golders Green', 1117.421]"
236,51.549723,-0.179199,"['Finchley Road', 346.623]"
237,51.543601,-0.13458,"['Chesham', 567.84]"
238,51.546983,-0.172358,"['Swiss Cottage', 394.569]"
239,51.559,-0.1942,"['West Hampstead', 1152.02]"
240,51.542378,-0.172338,"['Swiss Cottage', 139.85]"
241,51.551041,-0.132366,"['Chesham', 598.18]"
242,51.545344,-0.148522,"['Chalk Farm', 452.93]"
243,51.547289,-0.166998,"['Belsize Park', 322.898]"
244,51.548207,-0.134574,"['Kentish Town', 476.676]"
245,51.542625,-0.188863,"['West Hampstead', 476.706]"
246,51.539876,-0.151959,"['Chalk Farm', 526.12]"
247,51.545612,-0.167812,"['Chesham', 511.183]"
248,51.545637,-0.167778,"['Chesham', 509.636]"
249,51.53778,-0.130266,"['Chesham', 712.959]"
250,51.549758,-0.153659,"['Chalk Farm', 619.501]"
251,51.521541,-0.165689,"['Edgware Road (B)', 288.333]"
252,51.551845,-0.19294,"['West Hampstead', 532.518]"
253,51.553396,-0.152796,"['Chesham', 865.627]"
254,51.529402,-0.120925,"[""King's Cross St. Pancras"", 253.488]"
255,51.519514,-0.165511,"['Edgware Road (B)', 293.742]"
256,51.546375,-0.154921,"['Chalk Farm', 365.105]"
257,51.552036,-0.191607,"['West Hampstead', 479.398]"
258,51.537296,-0.129994,"[""King's Cross St. Pancras"", 672.883]"
259,51.5538,-0.165283,"['Belsize Park', 462.669]"
260,51.548558,-0.171468,"['Chesham', 473.275]"
261,51.546699,-0.165464,"['Belsize Park', 344.68]"
262,51.546399,-0.172482,"['Swiss Cottage', 347.728]"
263,51.565067,-0.194619,"['Golders Green', 691.119]"
264,51.565086,-0.19463,"['Golders Green', 690.06]"
265,51.529402,-0.120925,"[""King's Cross St. Pancras"", 253.488]"
266,51.557559,-0.1792,"['Hampstead', 142.585]"
267,51.54787,-0.205307,"['Kilburn', 166.27]"
268,51.546268,-0.128033,"['Caledonian Road', 675.016]"
269,51.532021,-0.130622,"['Chesham', 523.72]"
270,51.550979,-0.19569,"['West Hampstead', 600.318]"
271,51.524503,-0.112088,"['Chancery Lane', 524.576]"
272,51.524503,-0.112088,"['Chancery Lane', 524.576]"
273,51.542598,-0.140932,"['Camden Town', 354.069]"
274,51.542453,-0.140841,"['Camden Town', 366.468]"
275,51.54636,-0.161478,"['Belsize Park', 469.075]"
276,51.564988,-0.19502,"['Golders Green', 705.82]"
277,51.564988,-0.19502,"['Golders Green', 705.82]"
278,51.548916,-0.158963,"['Belsize Park', 515.053]"
279,51.55013,-0.15859,"['Belsize Park', 464.434]"
280,51.55094,-0.191786,"['West Hampstead', 367.066]"
281,51.53992,-0.157019,"['Chalk Farm', 507.539]"
282,51.529891,-0.125412,"[""King's Cross St. Pancras"", 335.832]"
283,51.550698,-0.178075,"['Finchley Road', 480.764]"
284,51.547179,-0.176258,"['Finchley Road', 356.299]"
285,51.547685,-0.176263,"['Finchley Road', 395.965]"
286,51.544029,-0.193973,"['West Hampstead', 333.158]"
287,51.529672,-0.125287,"[""King's Cross St. Pancras"", 171.688]"
288,51.544799,-0.17278,"['Swiss Cottage', 166.083]"
289,51.529753,-0.144714,"['Great Portland Street', 535.493]"
290,51.556358,-0.170823,"['Hampstead', 488.517]"
291,51.547738,-0.139569,"['Kentish Town', 309.169]"
292,51.546002,-0.163004,"['Belsize Park', 462.74]"
293,51.549878,-0.155535,"['Chalk Farm', 601.883]"
294,51.548306,-0.178055,"['Finchley Road', 351.967]"
295,51.525626,-0.162988,"['Marylebone', 487.84]"
296,51.513362,-0.126618,"['Covent Garden', 187.109]"
297,51.54928,-0.164386,"['Belsize Park', 156.104]"
298,51.54335,-0.19964,"['Kilburn', 405.742]"
299,51.54335,-0.19964,"['Kilburn', 405.742]"
300,51.54335,-0.19964,"['Kilburn', 405.742]"
301,51.54335,-0.19964,"['Kilburn', 405.742]"
302,51.548727,-0.1422,"['Kentish Town', 257.233]"
303,51.553199,-0.120485,"['Caledonian Road', 518.112]"
304,51.525149,-0.161825,"['Marylebone', 344.254]"
305,51.540203,-0.187227,"['Chesham', 644.107]"
306,51.547683,-0.174214,"['Swiss Cottage', 455.795]"
307,51.542575,-0.140039,"['Camden Town', 416.648]"
308,51.55215,-0.191947,"['West Hampstead', 467.681]"
309,51.543129,-0.178219,"['Swiss Cottage', 319.214]"
