,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
1290,1290,Westminster,2021-07-09,Wetherell,0,"South Audley Street, London W1K",0,0,pre-owned,1500000.0,flat,0,Other,1 bed flat for sale,51.509266,-0.151912,49.0,1,1,1,2021-07-09T11:17:10,1600000.0,0,0,0,Bond Street,552,87,"[2, 2, 1, 0]"
1291,1291,Westminster,2021-07-09,Wetherell,0,"Dunraven Street, London W1K",0,0,pre-owned,2395000.0,flat,0,leasehold,2 bed flat for sale,51.511874,-0.156684,90.0,2,1,1,2021-07-09T11:17:09,2395000.0,0,0,0,Marble Arch,266,102,"[4, 2, 1, 6]"
1292,1292,Westminster,2021-07-09,Wetherell,0,"Queen Street, London W1J",0,0,pre-owned,4000000.0,flat,0,leasehold,3 bed flat for sale,51.507278,-0.146983,198.0,3,2,1,2021-07-09T11:17:08,4000000.0,1,0,1,Green Park,312,110,"[2, 0, 2, 1]"
1293,1293,Westminster,2021-07-09,Wetherell,0,"Charles Street, London W1J",0,0,pre-owned,3300000.0,flat,0,leasehold,3 bed flat for sale,51.508025,-0.147369,112.0,3,2,1,2021-07-09T11:17:07,3300000.0,0,1,0,Green Park,348,118,"[2, 0, 2, 1]"
1294,1294,Westminster,2021-07-09,Hanover,0,"Marlborough Hill, London NW8",0,0,pre-owned,1000000.0,flat,0,Other,3 bed flat for sale,51.538214,-0.17779,104.0,3,2,1,2021-07-09T11:11:51,1075000.0,0,0,0,St. John's Wood,470,14,"[8, 1, 1, 1]"
1295,1295,Westminster,2021-07-08,Foxtons - St John's Wood,0,"Gateforth Street, Marylebone, London NW8",0,0,pre-owned,330000.0,flat,0,Other,1 bed flat for sale,51.524227,-0.169478,27.0,1,1,1,2021-07-08T18:25:55,355000.0,0,0,0,Edgware Road (C),454,38,"[14, 3, 2, 2]"
1296,1296,Westminster,2021-07-08,Cluttons - Hyde Park,0,"Burwood Place, London W2",0,0,pre-owned,960000.0,flat,0,leasehold,2 bed flat for sale,51.516739,-0.165738,83.0,2,2,1,2021-07-08T17:18:37,960000.0,0,1,0,Edgware Road (B),321,95,"[17, 2, 1, 6]"
1297,1297,Westminster,2021-07-08,Estate Developers & Realtors,0,"Edgware Road, London W2",0,0,pre-owned,1200000.0,flat,0,leasehold,3 bed flat for sale,51.5172,-0.167002,102.0,3,2,1,2021-07-08T15:40:08,1200000.0,1,0,1,Edgware Road (B),448,94,"[17, 3, 1, 5]"
1298,1298,Westminster,2021-07-08,Goldschmidt & Howland - Little Venice,0,"Warwick Avenue, Maida Vale, London W9",0,0,pre-owned,700000.0,flat,0,share_of_freehold,2 bed flat for sale,51.524388,-0.187346,59.0,2,1,1,2021-07-08T14:57:21,700000.0,0,1,0,Warwick Avenue,231,20,"[11, 3, 5, 0]"
1299,1299,Westminster,2021-07-08,Garton Jones - Westminster & Victoria,0,"Cavendish House, Monck Street, Westminster, London SW1P",0,0,pre-owned,950000.0,flat,0,Other,2 bed flat for sale,51.496582,-0.130788,96.0,2,2,1,2021-07-08T09:07:49,950000.0,1,1,0,St. James's Park,417,48,"[12, 4, 3, 0]"
